trip_id,start_time,end_time,headway_secs
611290,06:30:00,07:00:00,2400
611290,07:00:00,07:30:00,1200
611290,07:30:00,08:00:00,780
611290,08:00:00,09:00:00,600
611290,09:00:00,10:00:00,480
611290,10:00:00,10:30:00,420
611290,10:30:00,14:00:00,360
611290,14:00:00,15:45:00,420
611290,15:45:00,17:30:00,480
611290,17:30:00,19:00:00,600
740685,07:00:00,19:00:00,1320
936660,10:00:00,10:30:00,2700
936665,10:00:00,10:30:00,2700
936660,10:30:00,11:30:00,2700
936665,10:30:00,11:30:00,2700
936660,11:30:00,17:30:00,1800
936665,11:30:00,17:30:00,1800
936660,17:30:00,19:00:00,2700
936665,17:30:00,19:00:00,2700
936666,12:00:00,13:00:00,1380
936668,12:00:00,13:00:00,1380
936666,13:00:00,20:00:00,900
936668,13:00:00,20:00:00,900
936666,20:00:00,21:00:00,1380
936668,20:00:00,21:00:00,1380
923374,06:30:00,07:00:00,2700
923374,07:00:00,07:30:00,1380
923374,07:30:00,08:30:00,900
923374,08:30:00,09:00:00,660
923374,09:00:00,18:00:00,540
923375,18:00:00,18:30:00,780
923375,18:30:00,24:30:00,1020
923375,00:30:00,01:00:00,1500
927804,18:00:00,18:30:00,780
927804,18:30:00,24:30:00,1020
927804,00:30:00,02:30:00,1500
927804,02:30:00,03:00:00,3000
923007,07:00:00,07:30:00,1800
923007,07:30:00,08:00:00,900
923007,08:00:00,09:00:00,600
923007,09:00:00,11:00:00,480
923007,11:00:00,11:59:00,720
923124,12:00:00,16:00:00,720
923124,16:00:00,18:30:00,1080
922721,08:00:00,08:30:00,1800
922721,08:30:00,10:00:00,900
922721,10:00:00,17:30:00,600
922721,17:30:00,18:00:00,900
927300,06:30:00,07:30:00,1800
927300,07:30:00,18:00:00,900
927300,18:00:00,18:30:00,1800
922722,07:00:00,07:30:00,2700
922722,07:30:00,08:00:00,1380
922722,08:00:00,08:30:00,900
922722,08:30:00,09:00:00,660
922722,09:00:00,09:30:00,540
922722,09:30:00,16:30:00,480
922722,16:30:00,17:30:00,540
922722,17:30:00,18:00:00,660
922722,18:00:00,18:30:00,900
922722,18:30:00,19:00:00,1380
922722,19:00:00,19:30:00,2700
994145,07:00:00,07:30:00,2100
994145,07:30:00,08:00:00,1080
994145,08:00:00,08:30:00,720
994145,08:30:00,12:00:00,540
994145,12:00:00,15:30:00,420
994145,15:30:00,18:00:00,540
927301,18:00:00,18:30:00,660
927301,18:30:00,19:00:00,900
927301,19:00:00,23:59:00,1380
927301,00:00:00,01:00:00,2700
927805,18:00:00,18:30:00,660
927805,18:30:00,19:00:00,900
927805,19:00:00,23:59:00,1380
927805,00:00:00,03:00:00,2700
924633,06:30:00,07:00:00,3000
924633,07:00:00,07:30:00,1500
924633,07:30:00,08:00:00,1020
924633,08:00:00,08:30:00,780
924633,08:30:00,09:00:00,600
924633,09:00:00,14:00:00,600
924633,14:00:00,16:00:00,600
924633,16:00:00,16:30:00,780
924633,16:30:00,19:00:00,1020
1044069,18:30:00,20:00:00,1200
1044069,20:00:00,20:30:00,1800
1044069,20:30:00,21:00:00,3600
924643,07:00:00,07:30:00,2700
924643,07:30:00,09:00:00,1380
924643,09:00:00,18:30:00,900
924643,18:30:00,19:00:00,1380
924643,19:00:00,21:00:00,2700
923346,08:00:00,17:30:00,1800
611290,19:00:00,20:00:00,780
611290,20:00:00,20:30:00,1200
611290,20:30:00,21:00:00,2400
753330,07:00:00,07:30:00,1800
753330,07:30:00,08:30:00,900
753330,08:30:00,16:00:00,900
753330,16:00:00,18:30:00,900
753330,18:30:00,19:30:00,1800
1005899,07:00:00,19:00:00,1380
