trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
923374,00:00:00,00:00:00,175017,1,,,,1
923374,,,177708,2,,,,0
923374,,,175103,3,,,,0
923374,,,155090,4,,,,0
923374,,,155137,5,,,,0
923374,,,155094,6,,,,0
923374,,,155088,7,,,,0
923374,,,155116,8,,,,0
923374,,,155117,9,,,,0
923374,,,198803,10,,,,0
923374,,,155104,11,,,,0
923374,,,155100,12,,,,0
923374,,,155153,13,,,,0
923374,,,155164,14,,,,0
923374,,,155102,15,,,,0
923374,,,177709,16,,,,0
923374,,,155106,17,,,,0
923374,,,155112,18,,,,0
923374,,,155115,19,,,,0
923374,,,155118,20,,,,0
923374,,,155132,21,,,,0
923374,,,155133,22,,,,0
923374,,,155136,23,,,,0
923374,00:50:00,00:50:00,175017,24,,,,1
923375,00:00:00,00:00:00,175017,1,,,,1
923375,,,177708,2,,,,0
923375,,,175103,3,,,,0
923375,,,155090,4,,,,0
923375,,,155137,5,,,,0
923375,,,155094,6,,,,0
923375,,,155088,7,,,,0
923375,,,155116,8,,,,0
923375,,,155117,9,,,,0
923375,,,198803,10,,,,0
923375,,,155107,11,,,,0
923375,,,155103,12,,,,0
923375,,,198535,13,,,,0
923375,,,155086,14,,,,0
923375,,,155085,15,,,,0
923375,,,155099,16,,,,0
923375,,,155153,17,,,,0
923375,,,155164,18,,,,0
923375,,,155102,19,,,,0
923375,,,177709,20,,,,0
923375,,,155106,21,,,,0
923375,,,155112,22,,,,0
923375,,,155115,23,,,,0
923375,,,155118,24,,,,0
923375,,,155132,25,,,,0
923375,,,155133,26,,,,0
923375,,,155136,27,,,,0
923375,00:50:00,00:50:00,175017,28,,,,1
927804,00:00:00,00:00:00,175017,1,,,,1
927804,,,177708,2,,,,0
927804,,,175103,3,,,,0
927804,,,155090,4,,,,0
927804,,,155137,5,,,,0
927804,,,155094,6,,,,0
927804,,,155088,7,,,,0
927804,,,155116,8,,,,0
927804,,,155117,9,,,,0
927804,,,198803,10,,,,0
927804,,,155107,11,,,,0
927804,,,155103,12,,,,0
927804,,,198535,13,,,,0
927804,,,155086,14,,,,0
927804,,,155085,15,,,,0
927804,,,155099,16,,,,0
927804,,,155153,17,,,,0
927804,,,155164,18,,,,0
927804,,,155102,19,,,,0
927804,,,177709,20,,,,0
927804,,,155106,21,,,,0
927804,,,155112,22,,,,0
927804,,,155115,23,,,,0
927804,,,155118,24,,,,0
927804,,,155132,25,,,,0
927804,,,155133,26,,,,0
927804,,,155136,27,,,,0
927804,00:50:00,00:50:00,175017,28,,,,1
611290,00:00:00,00:00:00,155093,1,,,,1
611290,,,155135,2,,,,0
611290,,,155094,3,,,,0
611290,,,155113,4,,,,0
611290,,,155111,5,,,,0
611290,,,155108,6,,,,0
611290,,,155104,7,,,,0
611290,,,155100,8,,,,0
611290,,,155097,9,,,,0
611290,,,155086,10,,,,0
611290,,,155085,11,,,,0
611290,,,155099,12,,,,0
611290,,,155101,13,,,,0
611290,,,155105,14,,,,0
611290,,,155109,15,,,,0
611290,,,155110,16,,,,0
611290,,,155114,17,,,,0
611290,,,155132,18,,,,0
611290,,,155133,19,,,,0
611290,00:40:00,00:40:00,155093,20,,,,1
740685,00:00:00,00:00:00,155162,1,,,,1
740685,,,176269,2,,,,0
740685,,,155099,3,,,,0
740685,,,155163,4,,,,0
740685,00:15:00,00:15:00,155162,5,,,,1
923007,00:00:00,00:00:00,155156,1,,,,1
923007,,,155158,2,,,,0
923007,,,155093,3,,,,0
923007,,,155135,4,,,,0
923007,,,155113,5,,,,0
923007,,,155099,6,,,,0
923007,,,155089,7,,,,0
923007,,,155157,8,,,,0
923007,,,155114,9,,,,0
923007,00:35:00,00:35:00,155156,10,,,,1
923124,00:00:00,00:00:00,155156,1,,,,1
923124,,,155158,2,,,,0
923124,,,155113,3,,,,0
923124,,,155099,4,,,,0
923124,,,155089,5,,,,0
923124,,,155157,6,,,,0
923124,,,155114,7,,,,0
923124,,,155093,8,,,,0
923124,,,155135,9,,,,0
923124,00:35:00,00:35:00,155156,10,,,,1
922721,00:00:00,00:00:00,155094,1,,,,1
922721,,,155113,2,,,,0
922721,,,155098,3,,,,0
922721,,,155085,4,,,,0
922721,,,155153,5,,,,0
922721,,,155151,6,,,,0
922721,,,177709,7,,,,0
922721,,,155106,8,,,,0
922721,,,155109,9,,,,0
922721,,,155110,10,,,,0
922721,,,155114,11,,,,0
922721,,,155132,12,,,,0
922721,,,155133,13,,,,0
922721,00:25:00,00:25:00,155094,14,,,,1
927300,00:00:00,00:00:00,155146,1,,,,1
927300,,,155155,2,,,,0
927300,,,198533,3,,,,0
927300,,,155096,4,,,,0
927300,,,197666,5,,,,0
927300,,,155153,6,,,,0
927300,,,198803,7,,,,0
927300,,,155104,8,,,,0
927300,,,155100,9,,,,0
927300,,,155097,10,,,,0
927300,,,155145,11,,,,0
927300,00:28:00,00:28:00,155146,12,,,,1
922722,00:00:00,00:00:00,155094,1,,,,1
922722,,,155113,2,,,,0
